0,Santiago Lionel,Lorca,30904465,1999-03-17,0
0,Agustin Emanuel,Zambrano,21689196,2000-05-10,0
0,Tiago Nicolás,Rivera,34407251,2001-08-29,0
0,Camila Rocio,Varela,37130775,1995-05-09,0
0,Diego Agustin,Mamani,33259835,1991-01-08,0
0,Valentina,Vera,30170921,1982-05-22,5
0,Santiago,Álvarez,33936970,1986-04-25,5
0,Martina,Borges,21073376,1994-09-01,5
0,Joaquin,Valenzuela,23762139,1995-04-10,5
0,Juan Ignacio,Pereyra,25829297,1981-09-13,5
0,Sofia,Carranza,23391574,1998-07-06,5
0,Tomas,Jiménez,24071423,2003-07-23,5
0,Bautista,Schapira,38220144,2003-03-18,5
0,Mateo,Agüero,29380265,1981-09-07,5
0,Catalina,Giménez,37133890,1989-10-02,5
0,Benjamin,Martínez,28984059,1992-12-25,5
0,Agustin,Borges,38254370,1983-06-05,5
0,Santino,Marchi,24932324,1987-07-18,5
0,Juan Cruz,Pérez,28135861,2004-05-12,5
0,Camila,Varela,38654514,1987-09-05,5
0,Francisco,Díaz,31641829,2000-05-03,5
0,Ignacio,Mora,24435476,1983-04-17,5
0,Lautaro,Rotundo,33534237,1987-12-17,5
0,Juan Pablo,Quispe,28085160,1996-09-04,5
0,Valentino,Carranza,31053107,1988-01-09,5
0,Lucia,Vargas,34712774,1985-09-13,5
0,Delfina,Sala,39001048,1994-11-25,5
0,Agustina,Mejía,24148439,2000-01-12,5
0,Abril,Scanone,33186398,1982-01-10,5
0,Victoria,D'Elia,30453615,1991-12-20,5
0,Guadalupe,Huergo,38337195,1991-10-02,5
0,Nicolas,Abadía,28931612,1984-12-02,5
0,Valentín,Sorbera,22784675,1981-10-13,5
0,Julieta,D'Elia,34472143,1987-03-13,5
0,Morena,Rosso,20243933,1994-10-08,5
0,Candela,Arredondo,29712971,2003-02-23,5
0,Milagros,Vargas,35910892,1986-01-08,5
0,Facundo,Schapira,33715294,1994-07-27,5
0,Matias,Rivera,21455493,1982-04-23,5
0,Maria Victoria,Loreto,38899732,2004-07-28,5
0,Josefina,León,37095093,2000-03-09,5
0,Franco,Sosa,28790574,1980-01-03,5
0,Juan Manuel,Farías,38626137,1992-06-21,5
0,Felipe,Saldaña,23443400,2003-02-14,5
0,Juana,Nave,22708309,1996-12-22,5
0,Lucas,Díaz,38829303,1988-06-01,5
0,Maximo,Leiva,33949819,1998-03-22,5
0,Pilar,Farina,26833454,1993-12-10,5
0,Juan Bautista,Lorenzo,31540487,1980-10-28,5
0,Lautaro Ezequiel,Ibáñez,21601358,2004-08-23,5
0,Thiago,Pineda,23589286,1999-12-02,5
0,Malena,Santana,29557206,1982-08-06,5
0,Lola,Varela,29871753,1980-09-10,5
0,Mia,Rivas,37234143,1982-10-02,5
0,Santiago Nicolas,Pineda,29578408,1990-05-14,5
0,Matias Ezequiel,Zambrano,39051386,1992-06-21,5
0,Martin,D'Elia,31912447,1980-12-19,5
0,Ana Paula,Villalba,35197783,2003-11-13,5
0,Tomas Agustin,Álvarez,38357131,1999-03-17,5
0,Manuel,León,22478876,1990-04-09,5
0,Agostina,Benítez,25085870,1990-09-16,5
0,Ramiro,Salvador,32048924,2002-09-25,5
0,Constanza,D'Elia,28668509,1984-11-14,5
0,Maria Belen,D'Elia,36508278,1999-09-14,5
0,Luca,Ramírez,39763334,1994-12-05,5
0,Bruno,Abadía,38153582,1995-06-19,5
0,Micaela,León,22637722,2001-03-05,5
0,Lara,Lorca,32494709,1993-03-24,5
0,Federico,Rotman,38988885,1987-04-11,5
0,Lautaro Agustin,Casas,21628578,1992-11-24,5
0,Julian,Soto,31550048,1983-06-13,5
0,Lautaro Nicolas,Salazar,34901682,1987-07-06,5
0,Bianca,León,39073652,1988-03-12,5
0,Tobías,Giordano,21591870,1989-12-25,5
0,Renata,Arellano,33965379,1981-06-23,5
0,Pedro,Morales,26570742,1995-03-29,5
0,Gonzalo,Hidalgo,30140342,1998-07-30,5
0,Sofía Belén,Varela,38280660,1988-10-01,5
0,Lautaro Benjamin,Marchi,27494368,1981-06-06,5
0,Florencia,Sánchez,35774257,1984-06-17,5
0,Juan Gabriel,Portillo,24011817,1996-06-21,5
0,Rocio Belen,Sojero,30891924,1982-11-26,5
